X,Y
-656452.932317251,-1186264.77159304
-655969.642889955,-1186336.88178945
-655889.762572862,-1186186.75256732
-749205.726009299,-1158242.26145445
-749154.460788384,-1158242.26627974
-749254.248396354,-1158140.61141348
-749265.529068598,-1158141.66032091
-749332.167321746,-1158144.05507244
-749157.074973616,-1158135.51717532
-749176.263964161,-1158158.94820594
